NumberofFloors,NumberofBuildings,BuildingAge,PropertyGFATotal,PropertyGFATotal-binned,Neighborhood,renamed_PropertyType,Electricity_ratio,NaturalGas,SteamUse,SiteEnergyUse(kBtu),TotalGHGEmissions,ENERGYSTARScore
1.0,1.0,75.0,27247.0,Small,MAGNOLIA / QUEEN ANNE,Other,37.9046,True,False,2332996.5,83.1,
2.0,1.0,76.0,22612.0,Small,MAGNOLIA / QUEEN ANNE,Other,21.45704,True,False,731321.8125,31.6,87.0
2.0,1.0,47.0,38787.0,Small,NORTH,Other,69.44279,True,False,3204685.5,67.52,
2.0,1.0,60.0,24227.0,Small,MAGNOLIA / QUEEN ANNE,Other,20.18933,True,False,1086678.125,47.59,55.0
2.0,1.0,93.0,25521.0,Small,NORTHEAST,Other,59.7145,True,False,605186.3125,15.47,82.0
2.0,1.0,69.0,27876.0,Small,SOUTHEAST,Other,33.42007,True,False,1829981.375,68.97,69.0
1.0,1.0,47.0,47105.0,Small,GREATER DUWAMISH,Other,41.36752,True,False,10234721.0,348.22,
1.0,1.0,53.0,26400.0,Small,GREATER DUWAMISH,Other,99.99989,False,False,452612.5,3.16,
3.0,1.0,103.0,30971.0,Small,EAST,Other,46.56345,True,True,2823184.0,94.85,
1.0,1.0,54.0,30730.0,Small,LAKE UNION,Other,62.87593,True,False,3050455.25,73.52,
3.0,1.0,74.0,62000.0,Medium,MAGNOLIA / QUEEN ANNE,Other,15.94548,True,False,1799664.125,82.34,81.0
3.0,0.0,27.0,53103.0,Medium,LAKE UNION,Other,98.17381,True,False,4877959.0,38.12,
2.0,1.0,59.0,92080.0,Medium,NORTHWEST,Other,61.67389,True,False,5155090.5,127.1,
1.0,1.0,62.0,20236.0,Small,NORTHWEST,Other,60.4231,True,False,1965182.25,49.58,
4.0,1.0,53.0,25557.0,Small,NORTHWEST,Other,99.99998,False,False,2280352.5,15.9,
2.0,1.0,65.0,26994.0,Small,NORTHWEST,Other,28.65504,True,False,3076813.25,122.73,
1.0,1.0,14.0,20909.0,Small,NORTHWEST,Other,56.15849,True,False,1208029.25,32.86,
2.0,1.0,16.0,45000.0,Small,NORTHWEST,Other,50.29829,True,False,5912066.0,176.79,
1.0,1.0,74.0,26033.0,Small,NORTHEAST,Other,29.61545,True,False,1149140.25,45.33,78.0
5.0,1.0,68.0,31945.0,Small,MAGNOLIA / QUEEN ANNE,Other,100.0,False,False,1806468.0,12.59,4.0
3.0,1.0,55.0,75058.0,Medium,DOWNTOWN,Other,18.91966,True,False,5587347.0,247.97,24.0
2.0,1.0,82.0,25920.0,Small,DOWNTOWN,Other,99.99999,False,False,1333432.125,9.3,60.0
4.0,1.0,59.0,49243.0,Medium,EAST,Other,89.19803,True,False,8476183.0,101.34,
3.0,0.0,111.0,20411.0,Small,EAST,Other,38.46872,True,False,2014475.875,71.23,
5.0,1.0,35.0,45780.0,Small,EAST,Other,48.97001,True,True,10834087.0,462.4,
3.0,1.0,107.0,38038.0,Small,EAST,Other,38.40392,False,True,1107290.625,55.61,
3.0,1.0,61.0,37796.0,Small,EAST,Other,35.8412,True,True,2465983.5,123.41,55.0
1.0,1.0,62.0,26000.0,Small,MAGNOLIA / QUEEN ANNE,Other,60.25019,False,True,5277482.5,184.09,
3.0,1.0,14.0,23241.0,Small,MAGNOLIA / QUEEN ANNE,Other,54.57972,True,False,739210.5,20.64,66.0
1.0,1.0,61.0,155795.0,Medium,MAGNOLIA / QUEEN ANNE,Other,83.73529,True,False,17673018.0,255.83,
1.0,1.0,21.0,21018.0,Small,MAGNOLIA / QUEEN ANNE,Other,90.01892,False,True,1761137.5,24.62,
1.0,1.0,25.0,30533.0,Small,MAGNOLIA / QUEEN ANNE,Other,44.56902,True,False,5903015.0,192.12,
2.0,1.0,62.0,33971.0,Small,MAGNOLIA / QUEEN ANNE,Other,50.90189,True,False,17686444.0,523.95,
2.0,1.0,31.0,40600.0,Small,MAGNOLIA / QUEEN ANNE,Other,60.7323,True,True,2485521.0,41.06,
1.0,1.0,57.0,49680.0,Medium,DOWNTOWN,Other,46.05448,False,True,2844685.0,119.34,
1.0,1.0,61.0,36314.0,Small,DOWNTOWN,Other,60.5863,True,True,1832808.75,44.33,
2.0,1.0,107.0,25920.0,Small,DOWNTOWN,Other,99.99995,False,False,1257774.625,8.77,
3.0,1.0,123.0,49760.0,Medium,DOWNTOWN,Other,100.00113,False,False,44293.5,0.31,
2.0,0.0,93.0,22710.0,Small,DOWNTOWN,Other,99.99983,False,False,287763.5,2.01,
1.0,1.0,63.0,27338.0,Small,LAKE UNION,Other,100.0,False,False,581289.0,4.05,56.0
2.0,1.0,24.0,85750.0,Medium,EAST,Other,32.72466,True,False,2045592.0,77.76,
2.0,1.0,61.0,34416.0,Small,MAGNOLIA / QUEEN ANNE,Other,38.90999,True,False,12015936.0,422.45,
,1.0,46.0,21948.0,Small,GREATER DUWAMISH,Other,99.99994,False,False,326001.1875,2.27,80.0
3.0,1.0,96.0,31191.0,Small,EAST,Other,53.15556,True,False,5876439.0,167.98,
1.0,1.0,76.0,37377.0,Small,NORTH,Other,35.47691,True,False,3040978.0,111.73,
2.0,1.0,101.0,22688.0,Small,EAST,Other,68.93133,True,False,331675.0,7.07,87.0
2.0,1.0,61.0,22364.0,Small,SOUTHEAST,Other,34.68709,True,False,1467029.75,54.44,
3.0,1.0,115.0,45680.0,Small,NORTH,Other,24.52298,True,False,2077039.375,86.81,79.0
1.0,1.0,66.0,23562.0,Small,SOUTHWEST,Other,99.99996,False,False,531737.1875,3.71,96.0
1.0,1.0,73.0,26660.0,Small,GREATER DUWAMISH,Other,99.99998,False,False,2241280.5,15.62,
1.0,1.0,61.0,22047.0,Small,NORTHWEST,Other,100.00004,False,False,265774.9063,1.85,100.0
1.0,1.0,44.0,30610.0,Small,NORTH,Other,46.57035,True,False,4294550.0,135.81,
1.0,1.0,42.0,20971.0,Small,EAST,Other,99.99997,False,False,729397.1875,5.08,
2.0,1.0,113.0,21765.0,Small,BALLARD,Other,27.79895,True,False,431390.4063,17.38,80.0
2.0,1.0,122.0,26560.0,Small,CENTRAL,Other,34.82664,True,False,1751483.875,64.88,1.0
1.0,1.0,62.0,32000.0,Small,BALLARD,Other,41.21568,True,False,1331122.125,45.38,
1.0,1.0,19.0,30576.0,Small,BALLARD,Other,60.65812,True,False,1533245.75,38.52,
2.0,1.0,99.0,21528.0,Small,BALLARD,Other,68.3957,True,False,306911.0938,6.61,
